id,case_id,person_id,statement,date_of_statement
27,27,654,"1 сентября ночью возле горящего дома стояла черная 'Волга' с потушенными фарами. Когда подъехала пожарная, машина резко рванула с места.",1997-09-12
28,28,987,"22 февраля жена получила СМС: 'Встречаемся в кафе на углу'. Она уехала, но в этом кафе никто ее не видел. Позже ее машину нашли у лесополосы.",2010-03-03
29,29,234,"5 сентября с моего счета пропали деньги после звонка из 'банка'. Звонивший знал мои последние транзакции и просил 'подтвердить личность'.",2011-09-15
30,30,567,"25 июля в поезде мужчина с двумя спутниками шептался в тамбуре. Один сказал: 'Он знал слишком много'. Позже их купе оказалось пустым.",2020-08-03
31,31,890,"14 августа в музее экскурсовод указал на картину: 'Оригинал в другом зале'. Но табличка уже висела — видимо, подмену сделали заранее.",1998-08-22
32,32,123,"25 января звонящий представился 'следователем'. Требовал 'выкуп за уничтожение дела'. В фоне слышался звук поезда — возможно, звонок был с вокзала.",1999-02-05
33,33,456,"8 июня на яхте в порту экипаж избегал зрительного контакта. В трюме нашел обрывок накладной с печатью 'ОАЭ' — но она была на обычной бумаге, не водяной.",2024-06-17
34,34,789,"2 декабря ночью в администрации горел свет в кабинете №304. Утром обнаружили, что с компьютеров стерли логи входов за прошлый месяц.",2009-12-15
35,35,321,"14 июня у школы лежал кейс с наклейкой 'Химия'. Когда его вскрыли, внутри был таймер — стрелки остановились на 15:30.",2002-06-25
36,36,654,"9 января дед рассказывал, что внук спрашивал про 'документы в сейфе'. В тот вечер сейф вскрыли — отпечатки были, но в базе их не нашлось.",2015-01-20
37,37,987,"6 декабря в лаборатории пропали реактивы. На полу у шкафа нашли следы обуви с металлическими набойками — таких у сотрудников не было.",1999-12-18
38,38,234,"24 февраля в подвале дома №34 слышался звон монет по ночам. Однажды дверь была приоткрыта — внутри стояли игровые автоматы с перемотанными проводами.",2015-03-05
39,39,567,"3 декабря в лесу нашел мешки с трупами животных. На одном был стикер 'Биоопасность — не вскрывать'. Рядом валялись пустые ампулы без маркировки.",2003-12-15
40,40,890,"4 ноября утром в доме пахло газом. Диспетчер сказала: 'Это плановые работы'. Через час раздался взрыв — новый вентиль на кухне был откручен.",2014-11-12
41,41,123,"17 ноября мужчина с ножом кричал: 'Они все знают!'. Его рукава были закатаны — на левой руке виднелась татуировка в виде паутины.",1995-11-22
42,42,456,"20 января на складе стояли машины под брезентом. Один брезент был с дыркой — внутри увидел номер 'Х123УС77', который числился в угоне.",2005-02-05
43,43,789,"1 ноября получил звонок: 'Мы твоего брата держим. Криптой или никак'. В фоне слышался звук капающей воды и скрип двери.",2016-11-15
44,44,123,"24 ноября дети нашли тело у дуба. На коре была свежая царапина — как от металла. Рядом валялся сломанный ноготь с красным лаком.",1997-12-05
45,45,456,"14 декабря ночью возле горящего дома стоял 'Лексус' с номерами 'А555ХХ'. Из окна машины выбросили бутылку с остатками бензина.",2009-12-25
46,46,789,"2 августа подросток со свертком замерял расстояние от школы до парковки. В его рюкзаке торчали провода, а на телефоне была открыта схема здания.",2023-08-10
47,47,123,"24 апреля в мэрии 'случайно' отключили камеры в коридоре №4. Позже там нашли копировальный аппарат с документом в лотке.",2010-05-05
48,48,456,"10 апреля система показала вход в базу с моего аккаунта в 3:15 ночи. Я в это время спал, а пароль был записан только в моем блокноте.",2017-04-20
49,49,789,"1 января стрелявший приехал на мотоцикле. После выстрелов он снял шлем — у него была татуировка 'Корона' на виске и шрам через левую бровь.",2013-01-10
50,50,123,"15 января в дом проникли через окно ванной. На подоконнике остались следы обуви — подошва с рисунком 'елочка', размер около 42.",2022-01-20
51,51,456,"30 июня бухгалтер завода принес 'новую программу для отчетов'. После ее установки начались странные переводы на счета с названиями типа 'ООО Ромашка'.",2024-07-05
52,52,789,"15 июля ночью в автосалоне сработала сигнализация. На записи видно, как трое в масках вскрыли ворота — один использовал прибор с синим лучом.",2003-07-20
53,53,123,"7 декабря в офисе аренды подозрительный клиент оставил паспорт с размытой печатью. Позже выяснилось, что этот номер уже использовался в другом деле.",2021-12-12
54,54,456,"25 февраля в пункте выдачи техники кто-то перерезал провода сигнализации. На полу нашли перчатку с каплей крови — не из нашей аптечки.",2021-03-01
55,55,789,"27 мая ночью у дома №15 слышался звук открывающегося багажника. Утром сосед сообщил о краже — на асфальте остались следы кроссовок 'Nike' с шипами.",1998-06-01
56,56,123,"8 июня на рынке мужчина торговал 'золотыми' кольцами. При ближайшем рассмотрении на внутренней стороне было выгравировано 'GF', а не проба.",2000-06-15
57,57,456,"11 декабря получил сообщение: 'Ваша дочь в беде. Перевод на QW12345'. Фото было старым — с летнего отдыха, хотя сейчас зима.",2012-12-15
58,58,789,"6 октября в музее 'сотрудник охраны' нес контейнер с пометкой 'Хрупкое'. Его пропуск был на имя Иванова, но в списках такого не значилось.",1998-10-12
59,59,123,"10 ноября на сервере компании обнаружили вирус. Он активировался при открытии файлов с расширением '.pdf_scan', хотя таких у нас не было.",2009-11-15
60,60,456,"13 июля мне позвонили 'из банка' и сказали установить 'новое приложение для безопасности'. Через него со счета пропали все деньги.",2016-07-18
61,61,789,"22 августа грузовик с контейнерами уехал без отметки в журнале. Диспетчер утверждал, что 'водитель сам внес данные', но подпись была подделана.",2008-08-28
62,62,123,"31 января на стройке пропал генератор. На снегу остались следы саней — видимо, груз тащили к дороге, где ждала машина.",2022-02-05
63,63,456,"16 декабря на вокзале мужчина оставил чемодан у камеры хранения. На записи видно, как он трижды оглядывается на камеру перед тем, как уйти.",2018-12-20
64,64,789,"12 ноября в банке кто-то вскрыл ячейку №B-45. В журнале посещений была запись, но подпись отличалась от обычной сотрудницы.",2015-11-18
65,65,123,"4 февраля в ТЦ 'акция' с QR-кодом вела на сайт с названием 'MegaBonus', а не официальный магазин. Позже с карт списали деньги.",2005-02-10
66,66,456,"16 августа в магазине исчезли телевизоры. На складе нашли отпечатки перчаток — видимо, преступник переодевался в униформу грузчиков.",1994-08-25
67,67,789,"21 ноября сейф в ювелирном магазине вскрыли без следов взлома. На дверце остался след от отпечатка в пыли — указательный палец с шрамом.",2004-11-28
68,68,123,"24 августа бабушке позвонили 'из прокуратуры'. Номер начинался на 8800, но при проверке он оказался нерабочим. Голос звучал неестественно.",1998-08-30
69,69,456,"31 июля в клинике кто-то подделал справки. На одной заметил ошибку: дата была '31.06.2015' — такого дня не существует.",2015-08-05
